# Counting axions with IAXO (arXiv:2606.XXXXX) by B. Grinstein, C. Miro and P. Quilez
# Quasi-degenerate g_discovery of 2 axions as a function of sqrt_dm2
# sqrt_dm2[eV]    g_disc[GeV^-1]    q0_over_g4[GeV^-4]
3.000000e-09 3.451279e-09 6.343400e+34
3.279039e-09 2.888961e-09 1.292039e+35
3.584032e-09 2.418215e-09 2.631861e+35
3.917394e-09 2.024171e-09 5.361095e+35
4.281763e-09 1.694343e-09 1.092037e+36
4.680023e-09 1.418259e-09 2.224435e+36
5.115326e-09 1.187173e-09 4.530921e+36
5.591118e-09 9.937463e-10 9.228698e+36
6.111165e-09 8.318448e-10 1.879634e+37
6.679583e-09 6.963321e-10 3.828042e+37
7.300871e-09 5.829096e-10 7.795388e+37
7.979947e-09 4.879789e-10 1.587224e+38
8.722186e-09 4.085287e-10 3.231114e+38
9.533463e-09 3.420384e-10 6.575715e+38
1.042020e-08 2.863988e-10 1.337697e+39
1.138941e-08 2.398448e-10 2.719704e+39
1.244878e-08 2.008995e-10 5.524935e+39
1.360668e-08 1.683275e-10 1.121042e+40
1.487227e-08 1.410956e-10 2.270848e+40
1.625559e-08 1.183400e-10 4.588974e+40
1.776757e-08 9.933904e-11 9.241932e+40
1.942019e-08 8.349017e-11 1.852256e+41
2.122652e-08 7.029132e-11 3.686682e+41
2.320086e-08 5.932505e-11 7.265909e+41
2.535884e-08 5.024635e-11 1.411967e+42
2.771755e-08 4.277473e-11 2.688396e+42
3.029564e-08 3.669637e-11 4.963065e+42
3.311353e-08 3.180626e-11 8.794118e+42
3.619352e-08 2.777688e-11 1.511850e+43
3.955999e-08 2.436258e-11 2.554756e+43
4.323958e-08 2.143917e-11 4.260013e+43
4.726143e-08 1.893309e-11 7.004168e+43
5.165735e-08 1.678407e-11 1.134106e+44
5.646216e-08 1.494867e-11 1.802321e+44
6.171388e-08 1.338479e-11 2.804120e+44
6.745407e-08 1.205601e-11 4.260186e+44
7.372818e-08 1.093375e-11 6.297477e+44
8.058586e-08 9.994088e-12 9.021315e+44
8.808140e-08 9.217729e-12 1.246657e+45
9.627412e-08 8.589332e-12 1.653503e+45
1.052289e-07 8.096676e-12 2.094187e+45
1.150165e-07 7.728922e-12 2.522126e+45
1.257146e-07 7.472791e-12 2.886099e+45
1.374076e-07 7.305110e-12 3.160352e+45
1.501884e-07 7.183859e-12 3.379180e+45
1.641578e-07 7.054010e-12 3.634948e+45
1.794266e-07 6.889584e-12 3.994575e+45
1.961157e-07 6.731119e-12 4.384231e+45
2.143570e-07 6.647238e-12 4.609753e+45
2.342950e-07 6.669439e-12 4.548680e+45
2.560874e-07 6.768318e-12 4.288638e+45
2.799069e-07 6.869712e-12 4.040995e+45
3.059419e-07 6.912774e-12 3.941241e+45
3.343985e-07 6.903418e-12 3.962651e+45
3.655019e-07 6.885471e-12 4.004128e+45
3.994984e-07 6.885361e-12 4.004383e+45
4.366569e-07 6.904183e-12 3.960895e+45
4.772717e-07 6.934164e-12 3.892836e+45
5.216642e-07 6.969490e-12 3.814507e+45
5.701858e-07 7.009422e-12 3.728324e+45
6.232205e-07 7.056356e-12 3.630117e+45
6.811881e-07 7.112737e-12 3.516378e+45
7.445475e-07 7.180124e-12 3.386216e+45
8.138001e-07 7.259970e-12 3.239689e+45
8.894941e-07 7.354431e-12 3.076425e+45
9.722286e-07 7.465894e-12 2.896778e+45
1.062659e-06 7.597049e-12 2.701860e+45
1.161500e-06 7.751114e-12 2.493366e+45
1.269534e-06 7.931754e-12 2.273870e+45
1.387618e-06 8.143389e-12 2.046548e+45
1.516684e-06 8.391176e-12 1.815312e+45
1.657755e-06 8.681305e-12 1.584537e+45
1.811948e-06 9.021299e-12 1.358833e+45
1.980483e-06 9.420131e-12 1.142917e+45
2.164694e-06 9.888881e-12 9.411393e+44
2.366039e-06 1.044121e-11 7.572498e+44
2.586111e-06 1.109411e-11 5.941185e+44
2.826653e-06 1.186897e-11 4.535140e+44
3.089569e-06 1.279285e-11 3.360267e+44
3.376939e-06 1.390043e-11 2.410628e+44
3.691038e-06 1.523675e-11 1.669833e+44
4.034353e-06 1.686055e-11 1.113668e+44
4.409600e-06 1.884997e-11 7.128530e+43
4.819750e-06 2.130929e-11 4.364826e+43
5.268050e-06 2.438174e-11 2.546735e+43
5.758047e-06 2.826520e-11 1.410049e+43
6.293621e-06 3.324205e-11 7.370408e+42
6.879009e-06 3.971887e-11 3.616223e+42
7.518847e-06 4.831816e-11 1.651205e+42
8.218198e-06 6.003646e-11 6.927590e+41
8.982597e-06 7.652958e-11 2.623766e+41
9.818096e-06 1.008852e-10 8.688259e+40
1.073131e-05 1.395381e-10 2.373951e+40
1.172946e-05 2.059762e-10 5.000052e+39
1.282045e-05 3.360738e-10 7.055110e+38
1.401292e-05 6.276965e-10 5.797538e+37
1.531630e-05 1.417016e-09 2.232256e+36
1.674092e-05 3.695975e-09 4.823099e+34
1.829804e-05 9.673039e-09 1.027995e+33
2.000000e-05 3.026488e-08 1.072721e+31
