# Counting axions with IAXO (arXiv:2606.20826) by B. Grinstein, C. Miro and P. Quilez \cite{Grinstein:2026alk}
# Quasi-degenerate g_discovery of 2 axions as a function of sqrt_dm2
# sqrt_dm2[eV]    g_disc[GeV^-1]    q0_over_g4[GeV^-4]
3.000000e-09 3.632175e-09 5.171010e+34
3.279039e-09 3.040101e-09 1.053636e+35
3.584032e-09 2.544850e-09 2.145823e+35
3.917394e-09 2.130267e-09 4.370249e+35
4.281763e-09 1.783286e-09 8.899353e+35
4.680023e-09 1.492879e-09 1.811942e+36
5.115326e-09 1.249832e-09 3.688381e+36
5.591118e-09 1.046434e-09 7.505775e+36
6.111165e-09 8.762306e-10 1.526753e+37
6.679583e-09 7.338232e-10 3.103678e+37
7.300871e-09 6.146924e-10 6.303927e+37
7.979947e-09 5.150570e-10 1.278855e+38
8.722186e-09 4.317531e-10 2.590006e+38
9.533463e-09 3.621327e-10 5.233248e+38
1.042020e-08 3.039788e-10 1.054070e+39
1.138941e-08 2.554329e-10 2.114147e+39
1.244878e-08 2.149341e-10 4.217169e+39
1.360668e-08 1.811670e-10 8.354601e+39
1.487227e-08 1.530181e-10 1.641617e+40
1.625559e-08 1.295408e-10 3.196070e+40
1.776757e-08 1.099314e-10 6.162471e+40
1.942019e-08 9.351377e-11 1.176902e+41
2.122652e-08 7.972931e-11 2.227257e+41
2.320086e-08 6.812522e-11 4.178407e+41
2.535884e-08 5.833647e-11 7.771090e+41
2.771755e-08 5.006671e-11 1.432340e+42
3.029564e-08 4.307274e-11 2.614763e+42
3.311353e-08 3.715321e-11 4.723427e+42
3.619352e-08 3.214037e-11 8.434106e+42
3.955999e-08 2.789388e-11 1.486642e+43
4.323958e-08 2.429600e-11 2.582874e+43
4.726143e-08 2.124775e-11 4.415607e+43
5.165735e-08 1.866594e-11 7.413835e+43
5.646216e-08 1.648079e-11 1.219917e+44
6.171388e-08 1.463422e-11 1.962294e+44
6.745407e-08 1.307857e-11 3.076109e+44
7.372818e-08 1.177542e-11 4.680988e+44
8.058586e-08 1.069427e-11 6.880791e+44
8.808140e-08 9.811032e-12 9.713680e+44
9.627412e-08 9.106546e-12 1.308663e+45
1.052289e-07 8.565213e-12 1.672207e+45
1.150165e-07 8.173160e-12 2.016892e+45
1.257146e-07 7.914061e-12 2.294272e+45
1.374076e-07 7.759805e-12 2.482214e+45
1.501884e-07 7.657673e-12 2.617310e+45
1.641578e-07 7.536580e-12 2.789621e+45
1.794266e-07 7.365758e-12 3.057544e+45
1.961157e-07 7.207604e-12 3.334870e+45
2.143570e-07 7.164446e-12 3.415955e+45
2.342950e-07 7.297638e-12 3.173316e+45
2.560874e-07 7.597224e-12 2.701611e+45
2.799069e-07 7.970420e-12 2.230066e+45
3.059419e-07 8.283339e-12 1.911704e+45
3.343985e-07 8.495694e-12 1.727615e+45
3.655019e-07 8.692069e-12 1.576703e+45
3.994984e-07 8.958569e-12 1.397295e+45
4.366569e-07 9.326075e-12 1.189726e+45
4.772717e-07 9.792624e-12 9.786924e+44
5.216642e-07 1.034696e-11 7.852189e+44
5.701858e-07 1.098856e-11 6.172749e+44
6.232205e-07 1.173933e-11 4.738809e+44
6.811881e-07 1.263531e-11 3.531007e+44
7.445475e-07 1.371278e-11 2.545307e+44
8.138001e-07 1.500914e-11 1.773449e+44
8.894941e-07 1.658191e-11 1.190430e+44
9.722286e-07 1.850740e-11 7.671156e+43
1.062659e-06 2.088371e-11 4.731638e+43
1.161500e-06 2.385176e-11 2.780742e+43
1.269534e-06 2.758706e-11 1.553892e+43
1.387618e-06 3.236768e-11 8.199672e+42
1.516684e-06 3.858044e-11 4.062317e+42
1.657755e-06 4.670176e-11 1.891949e+42
1.811948e-06 5.792674e-11 7.993303e+41
1.980483e-06 7.339655e-11 3.101273e+41
2.164694e-06 9.616062e-11 1.052576e+41
2.366039e-06 1.319544e-10 2.968570e+40
2.586111e-06 1.857865e-10 7.554149e+39
2.826653e-06 2.909661e-10 1.255663e+39
3.089569e-06 4.995931e-10 1.444697e+38
3.376939e-06 1.190739e-09 4.476893e+36
3.691038e-06 1.696486e-09 1.086529e+36
4.034353e-06 3.960301e-09 3.658725e+34
4.409600e-06 1.207397e-08 4.234895e+32
4.819750e-06 4.988403e-08 1.453438e+30
5.268050e-06 nan -4.315773e+30
5.758047e-06 nan -2.235235e+30
6.293621e-06 nan -3.429738e+30
6.879009e-06 nan -2.031825e+30
7.518847e-06 nan -1.591736e+30
8.218198e-06 nan -3.816940e+30
8.982597e-06 nan -1.546437e+30
9.818096e-06 nan -4.307911e+30
1.073131e-05 5.690532e-08 8.582838e+29
1.172946e-05 nan -2.694872e+30
1.282045e-05 nan -5.351390e+30
1.401292e-05 4.522514e-08 2.151409e+30
1.531630e-05 nan -2.863010e+30
1.674092e-05 5.067864e-08 1.364403e+30
1.829804e-05 nan -2.053761e+30
2.000000e-05 nan -1.244113e+30
